anachronism_desc;Although the society of Rokugan embraces traditionalism and for the most part eschews all change, some degree of social evolution is inevitable. For those spirits returned through Oblivion’s Gate, these changes can seem profound and extremely confusing. You are out of touch with modern conventions and styles.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
antisocial_desc;You find the presence of others uncomfortable, so much so that is immediately obvious to those around you. Your preference for solitude causes you to behave in a manner that might best be described as rude.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x 
ascetic_desc;You have no taste for or interest in material things, and this minimalist attitude has impacted how others view you.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x 
bad_eyesight_desc;Your eyesight is exceptionally poor, whether as a result of some medical condition or even from a missing eye.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bad_fortune_desc;Kharma is a powerful force, and sometimes it is a destructive one as well. There is something unpleasant in store for you, and you may have no idea what it is until it is far too late. ;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
secret_love_desc;Somewhere, someone is madly in love with you, and will go to any lengths to sabotage your romantic interests, even politically arranged marriages, in order to ensure that you remain available, for them.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
disfigurement_desc;You have a birthmark of some sort that appears on a visible portion of your body. Others regard it as a clear mark of bad fortune (which in Rokugan, it is), and give you a very wide berth.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
evil_eye_desc;One of your eyes is discolored. People avoid looking you in the eyes at all costs, and some believe your very presence invites evil spirits.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
allergy_desc;You are allergic to a common substance, something you come into contact with regularly, such as silk, cotton, or sushi. Its presence breaks you out in a very uncomfortable rash, which in turn makes others react poorly to your presence.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
lingering_misfortune_desc;At some point in your future, you will fail an extremely important decision in a spectacularly disastrous fashion. ;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
unknown_enemy_desc;Someone somewhere in another Clan hates you, and wishes to see you dead. You have no idea who they are or why they hate you, but you will very soon.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
moto_curse_desc;You possess a spiritual weakness that makes you extremely susceptible to the Shadowlands Taint. ;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
yogo_curse_desc;You are cursed to betray the one you love the most, just as the first Yogo was cursed by Fu Leng himself.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bad_health_desc;You suffer from a chronic medical condition that constantly renders you weak and susceptible to both illness and injury. ;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bitter_betrothal_desc;You have been promised to another, or perhaps are already married, and neither of you are at all pleased with the situation. Your spouse despises you, but he or she at least has the decorum to manage your estate properly… for the most part. Your mutual dislike, however, can result in tremendous difficulty with even simple domestic or bureaucratic tasks. ;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
blackmailed_desc;Someone out there knows of some dark secret of yours, or some horrible indiscretion you committed in a moment of weakness. What's worse, they intend to make you pay for it.The person blackmailing you will contact you periodically and require certain things of you. You must weigh these actions against the potential disgrace if your secret is discovered, and act accordingly.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
black_sheep_desc;For whatever reason, your family is completely disgusted with you and your actions. You have not been cast out and made ronin, but you are no longer welcome in your own household. ;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
blind_desc;You possess no natural eyesight whatsoever save for a slight ability to determine light and dark. ;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
brash_desc;You have a notoriously short temper and are likely to answer anything you perceive as a threat with steel.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cant_lie_desc;You are psychologically incapable of telling a lie, perhaps because it has been so thoroughly drilled into your nature by your honorable family.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cast_out_desc;You, or perhaps your entire line, were at some point denounced by an order of monks, an act that can bring shame to even the least pious samurai. ;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
compulsion_desc;There is some activity in which you are hopelessly compelled to partake. It is a ritual that is so ingrained in your behavior that it requires a feat of will to forsake it, even in dire circumstances. This may be something illicit and addictive, such as sake or gambling, or it may be as innocuous as visiting every major temple you pass.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cursed_by_the_realm_chikushudo_desc;Chikushudo: You suffer a penalty of -1k1 to all Animal Handling rolls.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cursed_by_the_realm_gaki-do_desc;Gaki-do: The hungry dead crave your life essence above all others. All gaki and other hungry dead will attack you before any other available target, no matter the cost.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cursed_by_the_realm_maigo_no_musha_desc;Maigo no Musha: Your existence thwarts destiny in some manner. Any roll you make against a spirit of any kind suffers a penalty of -1k1.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cursed_by_the_realm_meido_desc;Meido: The ennui of the Realm of Waiting fills your soul. When unoccupied by physical activity or social interaction, you tend to lapse into a trance=like state that causes you to suffer a penalty of -1k0 to all Perception-based rolls.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cursed_by_the_realm_sakkaku_desc;Sakkaku: Trickster spirits plague you, and at least once a month you are the victim of some elaborate cruel prank by some malicious spirit.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cursed_by_the_realm_tengoku_desc;Tengoku: The Celestial Heavens reject you as unclean. While within a temple devoted to the Heavens (any Fortune, the Kami, the Elemental Dragons, or the Sun or Moon), the TNs of all your rolls is increased by +10.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cursed_by_the_realm_toshigoku_desc;Toshigoku: At the sight of a wounded opponent, you are overcome with bloodlust and must succeed at a Willpower Trait Roll (TN 15) or immediately attack the wounded party.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cursed_by_the_realm_yomi_desc;Yomi: You may not possess any Advantage or abilities that specifically reference ancestral links (Inheritance, for example).;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cursed_by_the_realm_yume-do_desc;Yume-do: You are plagued with horrific nightmares, making sleep difficult. You require 10 hours of sleep to regain Void Points, rather than the normal 8.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
dark_fate_desc;There is a destiny of tremendous significance in store for you, and sadly it is not an illustrious one. Before your death, you will usher tremendous darkness into the world in some way. Perhaps you will allow family secrets to fall into the hands of the enemy, or perhaps you will allow the Great Kaiu Wall to fall to the Shadowlands. Destiny protects those for whom it has great plans, even if they do not desire it. ;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
